City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kralendijk,12.15,-68.2667,305.14,66,75,5.66,BQ,1724868482
83,acapulco de juarez,16.8634,-99.8901,305.05,58,40,2.57,MX,1724868366
84,san carlos del zulia,9.0,-71.9135,309.15,40,59,2.45,VE,1724868484
85,nuuk,64.1835,-51.7216,280.49,93,100,10.29,GL,1724868417
86,harrison,30.4091,-89.0436,303.18,88,40,3.6,US,1724868487
87,empalme,27.9667,-110.8167,308.18,66,0,3.09,MX,1724868488
88,vorgashor,67.5833,63.95,283.9,80,95,3.98,RU,1724868403
89,colonia,50.9333,6.95,302.51,64,0,1.03,DE,1724868343
90,comodoro rivadavia,-45.8667,-67.5,290.07,25,0,9.26,AR,1724868491
91,mandalgovi,45.7625,106.2708,290.18,75,66,5.03,MN,1724868492
92,ancud,-41.8697,-73.8203,284.13,60,1,2.24,CL,1724868493
93,dunedin,-45.8742,170.5036,284.15,69,15,2.4,NZ,1724868494
94,college,64.8569,-147.8028,285.12,79,75,1.54,US,1724868370
95,gaiman,-43.2897,-65.4929,291.26,23,26,7.59,AR,1724868482
96,la'ie,21.6477,-157.9253,299.13,89,8,5.03,US,1724868498
97,rio grande,-32.035,-52.0986,287.47,70,0,4.7,BR,1724868499
98,ust-nera,64.5667,143.2,277.42,91,100,2.86,RU,1724868500
99,santa terezinha,-29.9002,-50.0904,288.11,77,18,6.41,BR,1724868501
100,lihue,21.9789,-159.3672,299.92,74,0,4.63,US,1724868502
101,klyuchi,52.2667,79.1667,287.47,78,24,0.96,RU,1724868451
102,chonchi,-42.6128,-73.8092,285.29,62,4,2.64,CL,1724868505
103,khandyga,62.6667,135.6,281.64,80,100,2.19,RU,1724868506
104,olinda,-8.0089,-34.8553,301.0,69,75,8.23,BR,1724868314
105,gaspe,48.8334,-64.4819,289.86,54,89,7.66,CA,1724868508
106,haiku-pauwela,20.9219,-156.3051,297.06,92,12,0.45,US,1724868399
107,bamboo flat,11.7,92.7167,299.92,81,100,9.71,IN,1724868511
108,blackmans bay,-43.0167,147.3167,281.33,80,92,0.89,AU,1724868512
109,obuase,6.206,-1.6619,297.25,89,94,1.64,GH,1724868513
110,trinity beach,-16.7888,145.6968,295.09,83,40,3.76,AU,1724868515
111,stanley,54.868,-1.6985,291.58,76,20,4.12,GB,1724868516
112,port alfred,-33.5906,26.891,284.36,54,13,4.02,ZA,1724868517
113,lappeenranta,61.0587,28.1887,290.18,82,0,2.06,FI,1724868518
114,castillos,-34.1667,-53.8333,287.93,57,36,4.25,UY,1724868396
115,west island,-12.1568,96.8225,300.14,74,20,6.69,CC,1724868520
116,codrington,-38.2667,141.9667,281.5,85,93,5.22,AU,1724868521
117,hohhot,40.8106,111.6522,293.15,58,6,0.85,CN,1724868522
118,armacao de buzios,-22.7469,-41.8817,297.24,68,1,6.13,BR,1724868332
119,basavakalyan,17.8667,76.95,295.96,86,41,6.42,IN,1724868526
120,chibougamau,49.9168,-74.3659,283.94,66,100,5.66,CA,1724868506
121,afaahiti,-17.75,-149.2833,297.47,84,52,5.53,PF,1724868528
122,kidal,18.4411,1.4078,303.99,53,100,4.81,ML,1724868331
123,calingasta,-31.3308,-69.4078,290.32,14,100,0.95,AR,1724868489
124,dalandzadgad,43.5708,104.425,297.55,35,1,2.99,MN,1724868531
125,ogoja,6.6547,8.7976,298.47,87,47,2.7,NG,1724868532
126,patterson,37.4716,-121.1297,304.79,14,0,2.26,US,1724868295
127,gaalkacyo,6.7697,47.4308,304.13,44,98,7.46,SO,1724868375
128,bethel,41.3712,-73.414,305.14,63,20,3.09,US,1724868536
129,uturoa,-16.7333,-151.4333,300.0,76,85,5.1,PF,1724868537
130,ribeira grande,38.5167,-28.7,300.37,57,40,2.68,PT,1724868538
131,fort st. john,56.2499,-120.8529,288.97,52,0,3.18,CA,1724868539
132,ad-damazin,11.7891,34.3592,296.72,88,99,2.35,SD,1724868540
133,whangarei,-35.7317,174.3239,285.17,92,100,2.39,NZ,1724868541
134,nangong,37.3581,115.3744,293.33,88,2,0.6,CN,1724868542
135,jamestown,42.097,-79.2353,299.95,73,75,3.09,US,1724868501
136,cockburn town,21.4612,-71.1419,301.9,75,8,7.08,TC,1724868545
137,darab,28.7519,54.5444,306.48,15,3,0.14,IR,1724868546
138,whitehorse,60.7161,-135.0538,285.98,68,98,8.05,CA,1724868547
139,arkhangel'sk,64.5401,40.5433,286.21,76,20,2.0,RU,1724868548
140,coquimbo,-29.9533,-71.3436,286.47,74,100,3.6,CL,1724868466
141,astara,38.5,48.6667,293.93,68,1,1.06,AZ,1724868550
142,merizo village,13.2658,144.6691,301.14,91,82,6.14,GU,1724868381
143,port saint john's,-31.6229,29.5448,289.36,48,3,8.98,ZA,1724868553
144,cavalaire-sur-mer,43.174,6.5272,302.55,61,1,1.31,FR,1724868554
145,dahab,28.501,34.5134,308.36,32,7,6.72,EG,1724868555
146,selkirk,50.1436,-96.8845,297.28,44,11,7.0,CA,1724868556
147,denison,33.7557,-96.5367,307.05,52,40,2.68,US,1724868557
